Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Values for January - 2016,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,,Station Name,,,,,,,,,,,,,,,,,,,,,,,
Lat,,"Latitude (North + , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Long,,"Longitude (West - , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Prov,,Province,,,,,,,,,,,,,,,,,,,,,,,
Tm,,Mean Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTm,,Days without Valid Mean Temperature,,,,,,,,,,,,,,,,,,,,,,,
D,,Mean Temperature difference from Normal (1981-2010) (°C),,,,,,,,,,,,,,,,,,,,,,,
Tx,,Highest Monthly Maximum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTx,,Days without Valid Maximum Temperature,,,,,,,,,,,,,,,,,,,,,,,
Tn,,Lowest Monthly Minimum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTn,,Days without Valid Minimum Temperature,,,,,,,,,,,,,,,,,,,,,,,
S,,Snowfall (cm),,,,,,,,,,,,,,,,,,,,,,,
DwS,,Days without Valid Snowfall,,,,,,,,,,,,,,,,,,,,,,,
S%N,,Percent of Normal (1981-2010) Snowfall,,,,,,,,,,,,,,,,,,,,,,,
P,,Total Precipitation (mm),,,,,,,,,,,,,,,,,,,,,,,
DwP,,Days without Valid Precipitation,,,,,,,,,,,,,,,,,,,,,,,
P%N,,Percent of Normal (1981-2010) Precipitation,,,,,,,,,,,,,,,,,,,,,,,
S_G,,Snow on the ground at the end of the month (cm),,,,,,,,,,,,,,,,,,,,,,,
Pd,,Number of days with Precipitation 1.0 mm or more,,,,,,,,,,,,,,,,,,,,,,,
BS,,Bright Sunshine (hours),,,,,,,,,,,,,,,,,,,,,,,
DwBS,,Days without Valid Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
BS%,,Percent of Normal (1981-2010) Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
HDD,,Degree Days below 18 °C,,,,,,,,,,,,,,,,,,,,,,,
CDD,,Degree Days above 18 °C,,,,,,,,,,,,,,,,,,,,,,,
Stn_No,,"Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically).",,,,,,,,,,,,,,,,,,,,,,,
NA,,Not Available,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Month,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
ATTAWAPISKAT A,January 2016,52.928,-82.432,ON,-17.5,0,NA,-1.5,0,-35.6,0,,,NA,0,0,NA,,0,,,NA,1101,0,6010400
BIG TROUT LAKE A,January 2016,53.818,-89.897,ON,-19.5,2,NA,-6.2,2,-33.2,2,,,NA,6.2,2,NA,,2,,,NA,1086.1,0,6010735
BIG TROUT LAKE,January 2016,53.816,-89.892,ON,-19,0,NA,-2.6,0,-33.4,0,,,NA,29,0,NA,46,6,,,NA,1146,0,6010740
EAR FALLS (AUT),January 2016,50.631,-93.221,ON,-14.1,2,NA,0.9,2,-32.3,0,,,NA,24,2,NA,42,6,,,NA,930.9,0,6012199
FORT SEVERN A,January 2016,56.019,-87.676,ON,-20.7,14,NA,-3.6,14,-34.6,13,,,NA,0,25,NA,,0,,,NA,657.9,0,6012501
LANSDOWNE HOUSE (AUT),January 2016,52.196,-87.936,ON,-17.6,0,NA,-0.8,0,-36.4,0,,,NA,30.2,0,NA,32,8,,,NA,1104.6,0,6014353
MUSKRAT DAM,January 2016,53.441,-91.763,ON,-19,2,NA,-6.7,2,-32.7,2,,,NA,0.3,2,NA,,0,,,NA,1071.6,0,6015026
PEAWANUCK (AUT),January 2016,54.983,-85.433,ON,-19.8,15,NA,-2.6,15,-38.2,14,,,NA,16.6,15,NA,31,4,,,NA,605.1,0,6016295
PICKLE LAKE (AUT),January 2016,51.449,-90.218,ON,-15.6,2,NA,0.5,2,-29.2,0,,,NA,28.2,2,NA,36,7,,,NA,973.9,0,6016525
PICKLE LAKE A,January 2016,51.446,-90.214,ON,-15.8,0,NA,1,0,-29.5,0,,,NA,,,NA,39,,,,NA,1048,0,6016529
RED LAKE A,January 2016,51.067,-93.793,ON,-14.6,0,NA,5.6,0,-33.1,0,,,NA,,,NA,44,,,,NA,1011.5,0,6016970
SANDY LAKE A,January 2016,53.064,-93.344,ON,-16.8,0,NA,-2,0,-31.1,0,,,NA,0,0,NA,,0,,,NA,1077.9,0,6017401
BARWICK,January 2016,48.633,-93.967,ON,-11.7,0,3.6,17,0,-33,0,16.7,0,57,16.7,0,56,20,5,,,NA,920,0,6020559
ATIKOKAN (AUT),January 2016,48.761,-91.628,ON,-13.2,1,NA,2.2,1,-32.4,0,,,NA,21,2,NA,26,6,,,NA,935.1,0,6020LPQ
FORT FRANCES RCS,January 2016,48.651,-93.439,ON,-12.8,0,NA,3.3,0,-33.6,0,,,NA,14.2,0,NA,10,4,,,NA,954.6,0,6022474
MINE CENTRE SOUTHWEST,January 2016,48.76,-92.623,ON,-12.3,2,NA,3,1,-33,1,23.6,1,NA,23.6,1,NA,34,8,,,NA,878.3,0,6025205
DRYDEN REGIONAL,January 2016,49.828,-92.744,ON,-13.8,1,NA,0.9,1,-32.3,1,,,NA,10,1,NA,,3,,,NA,954.7,0,6032125
KENORA RCS,January 2016,49.791,-94.378,ON,-13.4,2,NA,1.1,2,-31.2,0,,,NA,33.7,2,NA,30,15,,,NA,910.2,0,6034073
KENORA A,January 2016,49.788,-94.363,ON,-13.8,0,NA,1.1,0,-30.9,0,23,0,NA,19.8,0,NA,26,5,,,NA,986.3,0,6034076
RAWSON LAKE (AUT),January 2016,49.664,-93.733,ON,-14.6,7,NA,0.8,7,-32.6,6,,,NA,16.4,7,NA,31,4,,,NA,782,0,6036907
ROYAL ISLAND (AUT),January 2016,49.469,-94.763,ON,-14.8,7,NA,2.4,7,-31,6,,,NA,,,NA,,,,,NA,786,0,6037201
SIOUX LOOKOUT A,January 2016,50.114,-91.908,ON,-14.4,0,NA,1,0,-33.1,0,36.1,0,NA,26.1,1,NA,31,5,,,NA,1005.5,0,6037776
ARMSTRONG (AUT),January 2016,50.294,-88.905,ON,-15.6,0,NA,2.7,0,-37.4,0,,,NA,23.6,0,NA,36,4,,,NA,1040.1,0,6040325
CAMERON FALLS (AUT),January 2016,49.154,-88.345,ON,-11.6,0,NA,3.8,0,-29.4,0,,,NA,36.6,0,NA,18,8,,,NA,918.9,0,6041110
CARIBOU ISLAND (AUT),January 2016,47.333,-85.833,ON,-4.1,1,NA,4.1,1,-14.8,0,,,NA,,,NA,,,,,NA,662.7,0,6041222
GERALDTON A,January 2016,49.779,-86.939,ON,-14.5,0,NA,1.5,0,-36.4,0,45.9,0,NA,33.4,0,NA,39,11,,,NA,1008.2,0,6042717
HAZELWOOD,January 2016,48.467,-89.267,ON,,,NA,,,,,56.6,3,NA,56.6,3,NA,71,8,,,NA,,,6043390
PUKASKWA (AUT),January 2016,48.608,-86.287,ON,-10.1,0,NA,2.8,0,-29.8,0,,,NA,62.2,0,NA,24,11,,,NA,870.5,0,6046768
THUNDER BAY,January 2016,48.372,-89.322,ON,-11,2,NA,2.9,2,-29,2,,,NA,4.9,2,NA,,1,,,NA,841.5,0,6048260
THUNDER BAY BURWOOD,January 2016,48.414,-89.278,ON,-11.9,11,NA,1,11,-28,11,33.3,11,NA,28.9,11,NA,,5,,,NA,597.2,0,6048266
THUNDER BAY CS,January 2016,48.369,-89.327,ON,-10.6,0,NA,4.5,0,-29.4,0,,,NA,35.2,0,NA,20,7,,,NA,885.7,0,6048268
UPSALA (AUT),January 2016,49.033,-90.467,ON,-13.8,0,NA,0.7,0,-33.5,0,,,NA,21.8,0,NA,42,6,,,NA,984.9,0,6049095
WELCOME ISLAND (AUT),January 2016,48.369,-89.119,ON,-9,1,NA,4.2,1,-23.3,0,,,NA,,,NA,,,,,NA,809.6,0,6049443
LITTLE FLATLAND ISLAND (AUT),January 2016,49.69,-88.306,ON,-10.8,0,NA,2.9,0,-25.9,0,,,NA,28,0,NA,23,6,,,NA,891.6,0,6049470
THUNDER BAY A FIREHALL,January 2016,48.367,-89.317,ON,,,NA,,,,,19.6,19,NA,16,19,NA,20,3,,,NA,,,604S003
LAKE SUPERIOR PROVINCIAL PARK,January 2016,47.723,-84.814,ON,-10.7,0,NA,1.7,0,-31,0,,,NA,78.1,0,NA,58,17,,,NA,890.8,0,6054425
SAULT STE MARIE A,January 2016,46.485,-84.51,ON,-7.6,0,NA,3.8,0,-25.1,0,80.6,0,NA,58.2,0,NA,18,14,,,NA,794.2,0,6057591
WAWA A,January 2016,47.967,-84.786,ON,-10.5,0,NA,2.3,0,-29.9,0,,,NA,,,NA,30,,,,NA,882.3,0,6059407
KILLARNEY (AUT),January 2016,45.967,-81.483,ON,-7.1,2,NA,4.3,2,-21.1,0,,,NA,,,NA,,,,,NA,727.4,0,605DJ25
CHAPLEAU A,January 2016,47.82,-83.347,ON,-12.4,0,NA,0.9,0,-35.2,0,,,NA,,,NA,48,,,,NA,943.9,0,6061362
MASSEY,January 2016,46.193,-82.025,ON,-9,1,2.1,4,1,-33.5,1,53.8,1,NA,61.4,1,NA,37,14,,,NA,809.7,0,6065006
