,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",5748595,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Circles,"Post Malone",4668304,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",4275798,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
4,"Dance Monkey","Tones and I",4073682,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Goodbyes (Feat. Young Thug)","Post Malone",3394305,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
6,Ransom,"Lil Tecca",3318767,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
7,China,"Anuel AA",3285350,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
8,Saint-Tropez,"Post Malone",3230223,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
9,Lalala,Y2K,3180562,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
10,"Beautiful People (feat. Khalid)","Ed Sheeran",3170336,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
11,"Someone You Loved","Lewis Capaldi",3154866,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"How Do You Sleep?","Sam Smith",2922616,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
13,"bad guy","Billie Eilish",2872537,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2676605,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
15,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",2662244,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
16,"I Don't Care (with Justin Bieber)","Ed Sheeran",2656040,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
17,"Hollywood's Bleeding","Post Malone",2597723,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
18,"Enemies (feat. DaBaby)","Post Malone",2453418,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
19,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",2452556,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
20,Panini,"Lil Nas X",2190318,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
21,Callaita,"Bad Bunny",2189904,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
22,"Old Town Road - Remix","Lil Nas X",2171738,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
23,"boyfriend (with Social House)","Ariana Grande",2170168,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
24,"Truth Hurts",Lizzo,2111060,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
25,Liar,"Camila Cabello",2052612,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
26,"Yo x Ti, Tu x Mi",ROSALÍA,2033645,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
27,"Die For Me (feat. Future & Halsey)","Post Malone",2015336,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
28,"LA CANCIÓN","J Balvin",1989738,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
29,Tutu,Camilo,1924402,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
30,"No Me Conoce - Remix","Jhay Cortez",1877266,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,"No Guidance (feat. Drake)","Chris Brown",1870661,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
32,Graveyard,Halsey,1825621,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
33,Lover,"Taylor Swift",1792151,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
34,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",1756105,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
35,"Adicto (with Anuel AA & Ozuna)",Tainy,1735438,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
36,"Money In The Grave (Drake ft. Rick Ross)",Drake,1707813,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
37,"Otro Trago - Remix",Sech,1653748,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
38,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1652967,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
39,"Piece Of Your Heart",MEDUZA,1631082,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
40,"It's You","Ali Gatie",1628850,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
41,"Soltera (Remix)",Lunay,1576606,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza
42,"Slide Away","Miley Cyrus",1569417,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
43,"A Thousand Bad Times","Post Malone",1556345,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
44,"Higher Love",Kygo,1525275,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
45,Wow.,"Post Malone",1508476,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
46,Takeaway,"The Chainsmokers",1504576,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
47,"The London (feat. J. Cole & Travis Scott)","Young Thug",1473227,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
48,Motivation,Normani,1443147,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
49,"QUE PRETENDES","J Balvin",1391559,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,"hot girl bummer",blackbear,1391405,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
51,"Con Altura",ROSALÍA,1312988,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
52,Shallow,"Lady Gaga",1263615,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
53,"You Need To Calm Down","Taylor Swift",1257684,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
54,"Good As Hell",Lizzo,1246213,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
55,"7 rings","Ariana Grande",1236606,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
56,Allergic,"Post Malone",1219695,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba
57,"I'm Gonna Be","Post Malone",1214087,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m
58,Teeth,"5 Seconds of Summer",1201389,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
59,"Staring At The Sun (feat. SZA)","Post Malone",1198600,https://open.spotify.com/track/5KE9b4x7Zj2A8XtbkqhqTe
60,"11 PM",Maluma,1175884,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
